question,worker,answer
24,4,0
24,3,0
25,3,0
25,2,1
26,2,1
26,3,1
27,2,1
27,3,1
20,3,1
20,4,1
21,2,0
21,4,0
22,2,1
22,4,1
23,4,0
23,2,0
28,2,1
28,3,1
29,4,1
29,3,1
0,2,0
0,4,1
4,3,0
4,2,0
8,3,0
8,2,0
59,3,0
59,4,1
58,4,1
58,2,1
55,3,1
55,4,1
54,4,0
54,3,1
57,3,1
57,4,0
56,3,0
56,4,0
51,2,1
51,4,1
50,3,0
50,2,0
53,3,1
53,2,0
52,2,0
52,3,1
88,3,1
88,4,0
89,2,0
89,3,0
82,2,1
82,4,1
83,2,0
83,4,0
80,4,0
80,2,0
81,4,0
81,2,1
86,4,1
86,3,0
87,4,1
87,3,1
84,3,1
84,2,0
85,4,1
85,2,1
3,2,1
3,3,1
7,4,0
7,3,0
39,3,0
39,4,0
38,2,0
38,4,0
33,2,1
33,4,1
32,2,1
32,3,1
31,4,1
31,3,1
30,3,1
30,4,1
37,2,1
37,4,1
36,4,0
36,2,0
35,3,0
35,2,0
34,3,0
34,2,0
60,3,0
60,2,0
61,2,1
61,4,1
62,3,1
62,4,1
63,4,0
63,3,0
64,3,1
64,2,1
65,4,0
65,2,0
66,3,1
66,4,1
67,3,0
67,2,0
68,2,1
68,3,1
69,3,0
69,4,1
2,3,1
2,2,1
6,3,1
6,2,0
99,4,0
99,3,0
98,4,1
98,3,1
91,2,0
91,4,1
90,3,1
90,2,1
93,4,0
93,3,1
92,2,0
92,3,0
95,2,1
95,4,1
94,2,0
94,3,1
97,4,0
97,3,0
96,2,0
96,3,0
11,4,0
11,2,0
10,2,1
10,3,1
13,4,1
13,2,0
12,4,0
12,2,1
15,3,0
15,2,0
14,4,1
14,2,1
17,4,1
17,2,1
16,2,1
16,3,1
19,3,0
19,4,0
18,2,1
18,4,1
48,2,1
48,3,1
49,3,1
49,2,1
46,4,0
46,2,1
47,4,1
47,3,0
44,2,0
44,3,1
45,3,0
45,2,1
42,4,0
42,3,0
43,3,1
43,4,0
40,4,0
40,3,1
41,2,1
41,3,1
1,2,0
1,4,0
5,3,0
5,2,0
9,2,0
9,4,1
77,4,0
77,3,1
76,3,0
76,4,0
75,4,0
75,3,0
74,4,0
74,2,1
73,3,1
73,2,1
72,2,1
72,3,1
71,3,0
71,2,0
70,4,1
70,3,1
79,4,1
79,2,1
78,2,0
78,3,0
