question,worker,answer
24,1,0
25,1,1
26,2,1
27,3,0
20,3,0
21,4,0
22,1,0
23,2,0
28,2,1
29,1,1
0,2,1
4,5,1
8,4,1
59,3,1
58,2,1
55,3,0
54,2,0
57,3,1
56,4,1
51,1,1
50,3,1
53,1,1
52,1,1
88,4,1
89,1,0
82,5,0
83,1,0
80,4,1
81,4,0
86,2,0
87,4,1
84,3,0
85,2,0
3,3,0
7,3,1
39,5,1
38,4,0
33,2,0
32,4,1
31,2,0
30,2,1
37,5,1
36,2,0
35,5,0
34,5,0
60,5,1
61,5,1
62,2,1
63,2,0
64,1,1
65,5,1
66,5,1
67,2,0
68,4,0
69,2,1
2,1,0
6,4,0
99,5,1
98,5,1
91,4,0
90,4,1
93,5,0
92,3,1
95,2,1
94,3,0
97,2,0
96,2,0
11,5,0
10,1,0
13,1,1
12,5,1
15,3,1
14,4,1
17,5,1
16,1,1
19,3,1
18,1,1
48,3,0
49,4,0
46,3,1
47,1,0
44,1,0
45,2,0
42,5,0
43,1,0
40,4,1
41,3,1
1,1,1
5,1,1
9,2,1
77,3,0
76,5,1
75,1,1
74,3,1
73,3,0
72,2,0
71,1,1
70,1,0
79,3,0
78,2,0
