question,worker,answer
344,2,0
344,3,0
0,2,1
0,3,0
346,2,1
346,3,0
347,3,0
347,2,0
340,3,0
340,4,0
341,3,1
341,4,1
342,4,0
342,2,0
343,3,1
343,2,1
348,3,0
348,4,0
349,2,1
349,3,0
298,3,1
298,2,0
299,2,0
299,3,1
296,2,0
296,4,0
297,4,0
297,2,1
294,4,0
294,2,0
295,4,0
295,2,0
292,3,1
292,4,1
293,3,0
293,2,0
290,2,1
290,4,0
291,4,0
291,2,1
199,2,1
199,4,1
198,3,0
198,4,0
195,3,0
195,4,1
194,4,1
194,3,1
197,4,0
197,2,0
196,2,0
196,4,1
191,3,1
191,2,0
190,4,1
190,3,0
193,4,1
193,3,1
192,3,0
192,4,1
270,3,0
270,2,0
271,3,0
271,4,0
272,4,1
272,2,1
273,3,1
273,2,0
274,3,1
274,4,0
275,4,1
275,3,1
276,2,1
276,4,1
277,2,0
277,4,0
278,3,0
278,2,1
279,2,1
279,4,1
108,3,0
108,4,1
109,3,1
109,4,1
102,3,0
102,4,1
103,4,0
103,2,1
100,4,0
100,2,1
101,3,1
101,4,1
106,4,1
106,3,1
107,2,0
107,4,0
104,2,0
104,4,0
105,3,0
105,4,1
39,4,1
39,2,1
38,3,1
38,2,0
33,3,0
33,2,0
32,2,0
32,4,1
31,2,0
31,3,0
30,2,1
30,3,0
37,3,1
37,2,0
36,4,1
36,2,0
35,3,0
35,4,0
34,4,1
34,2,1
339,4,0
339,2,0
338,3,0
338,2,0
335,3,0
335,4,0
334,4,0
334,2,0
337,3,0
337,4,0
336,4,0
336,2,0
331,4,0
331,3,1
330,4,1
330,2,0
333,4,0
333,2,0
332,2,0
332,4,1
345,3,1
345,4,0
6,2,1
6,4,1
99,3,0
99,2,1
98,4,0
98,3,0
91,3,0
91,4,0
90,2,1
90,4,1
93,3,0
93,2,0
92,3,0
92,2,1
95,4,1
95,3,1
94,4,1
94,3,1
97,4,1
97,3,0
96,3,1
96,2,1
238,4,0
238,3,0
239,2,0
239,3,1
234,4,1
234,2,1
235,2,1
235,4,1
236,2,0
236,4,0
237,2,0
237,4,1
230,4,1
230,2,0
231,4,0
231,2,0
232,3,1
232,2,1
233,4,0
233,2,0
1,3,0
1,2,0
146,3,1
146,4,1
147,3,1
147,4,1
144,3,1
144,2,1
145,3,0
145,4,1
142,2,0
142,4,1
143,2,0
143,4,0
140,2,1
140,4,1
141,4,1
141,3,1
148,3,0
148,2,1
149,2,1
149,3,1
133,2,1
133,3,1
132,2,0
132,4,0
131,4,0
131,3,1
130,2,0
130,4,0
137,4,1
137,2,0
136,4,0
