question,worker,answer
306_FBIS3-24653,input.Mercure1,0
349_FR940525-1-00069,input.Cor6A2qtcs,0
346_LA090690-0154,input.gmu97au1,0
308_FBIS4-46988,input.Brkly23,0
319_FBIS3-20668,input.att97as,0
323_FT944-11362,input.att97ac,1
309_LA051090-0217,input.gmu97au2,1
335_FT944-5322,input.nmsu2,0
323_FBIS4-31295,input.att97as,0
344_FT941-5388,input.city6at,0
321_FT944-12936,input.iss97s,0
343_LA111290-0080,input.pirc7Aa,0
340_FBIS3-571,input.gmu97au1,0
303_FT934-10579,input.iss97vs,0
350_LA050789-0131,input.LNaShort,0
334_FT941-15964,input.csiro97a3,0
345_FT933-3953,input.glair61,1
350_FR940627-0-00245,input.LNaVryShort,0
330_FBIS4-37040,input.DCU97lt,0
350_FT942-11123,input.glair64,0
329_FT921-1318,input.fsclt6,0
338_LA012289-0164,input.Cor6A1cls,0
343_FT932-14994,input.Cor6A1cls,0
341_FT934-3594,input.jalbse,0
322_LA032990-0212,input.att97ae,0
323_FT943-12165,input.fsclt6t,0
342_FBIS4-14952,input.aiatA1,0
347_CR93H-9625,input.jalbse0,0
316_FT943-12021,input.city6ad,0
331_FT921-9498,input.DCU97snt,0
310_FT941-6597,input.city6ad,0
350_FT932-16807,input.ispa1,0
319_FR940810-2-00044,input.glair62,0
325_FBIS3-48751,input.uwmt6a1,0
340_FT921-1316,input.gerua1,0
347_CR93H-4123,input.nmsu1,0
314_FBIS3-60392,input.att97as,0
328_FR941202-2-00139,input.DCU97lnt,0
318_CR93H-8245,input.ispa1,0
343_FT943-14692,input.VrtyAH6b,0
325_CR93H-13205,input.VrtyAH6a,0
307_FR940930-2-00023,input.Mercure1,1
315_LA010290-0086,input.att97as,0
345_FT944-6223,input.iss97s,0
335_FT933-8289,input.nsasg2,0
310_FT921-13851,input.LNmShort,0
314_CR93H-8249,input.pirc7Aa,0
301_FBIS4-9843,input.VrtyAH6a,0
327_FBIS4-47645,input.pirc7Ad,0
308_LA041689-0093,input.city6al,0
334_CR93H-11950,input.DCU97vs,0
308_LA021590-0211,input.Brkly23,0
322_FT932-10374,input.DCU97snt,0
313_FT944-14328,input.glair61,0
343_FBIS4-23425,input.mds603,0
302_FT924-1993,input.Brkly21,0
307_FT941-9907,input.uwmt6a0,0
325_FT922-5607,input.mds602,0
325_LA061390-0056,input.DCU97snt,0
338_FT943-14522,input.INQ402,0
347_FBIS4-21438,input.gerua2,0
334_FT941-3568,input.fsclt6t,0
318_LA091789-0225,input.city6al,1
306_LA081389-0097,input.DCU97vs,0
305_FR941012-0-00137,input.ispa1,0
307_FT934-11979,input.mds601,0
343_LA050190-0027,input.ispa1,0
331_LA121989-0113,input.ispa2,0
301_CR93H-11994,input.gmu97au2,0
339_FT944-13995,input.gerua2,0
350_FR940812-2-00032,input.LNmShort,0
335_FT934-10695,input.LNaShort,0
312_FT922-4189,input.ibmg97a,0
350_LA052489-0045,input.nsasg2,0
323_LA082689-0090,input.city6at,0
342_CR93H-9407,input.pirc7At,0
309_CR93H-10728,input.ispa2,0
335_FT931-1910,input.uwmt6a1,0
337_FT911-4518,input.pirc7Aa,0
342_FT934-15415,input.att97ae,0
317_FR941121-0-00103,input.Mercure3,0
349_LA071589-0006,input.Cor6A3cll,0
349_FBIS3-67,input.pirc7Ad,0
322_FT934-1397,input.jalbse0,0
305_LA122090-0089,input.gmu97au1,0
338_LA122489-0017,input.aiatB1,0
319_FR940802-0-00020,input.Cor6A2qtcs,0
321_FT943-17110,input.iss97vs,0
341_FT923-13263,input.att97ac,0
307_CR93H-7875,input.Brkly23,0
341_LA112190-0147,input.ispa1,0
306_FBIS4-18893,input.gerua1,0
307_FBIS4-20778,input.jalbse,0
328_FT941-14774,input.gmu97ma1,0
316_CR93H-12150,input.iss97man,0
301_FBIS3-42576,input.glair64,0
348_FR940816-2-00060,input.mds603,0
337_CR93H-11368,input.fsclt6,0
346_CR93H-10934,input.fsclt6r,0
345_FT932-11169,input.att97ac,0
306_FBIS4-4034,input.city6al,0
344_CR93H-2650,input.Brkly21,0
339_FT942-10623,input.att97as,0
315_FBIS4-67533,input.DCU97snt,1
321_FT922-1141,input.fsclt6r,0
335_LA090590-0109,input.aiatB1,1
309_FT933-4724,input.anu6min1,0
331_FBIS3-15498,input.CLAUG,0
320_FBIS4-50314,input.gmu97au1,0
342_FT943-14566,input.CLAUG,0
319_FT923-7636,input.glair61,0
331_FT921-5158,input.DCU97lnt,0
305_LA072089-0143,input.fsclt6r,0
345_FT932-15030,input.iss97man,0
338_CR93H-1667,input.fsclt6,0
301_LA012890-0073,input.Mercure1,0
346_LA122289-0009,input.glair61,0
337_FT943-9078,input.INQ402,0
349_FBIS4-66406,input.nmsu1,0
341_LA032089-0047,input.Cor6A3cll,0
301_FBIS4-34647,input.DCU97lnt,0
305_FT931-6495,input.uwmt6a2,0
310_FT911-671,input.uwmt6a2,0
349_FR940817-2-00213,input.jalbse0,0
345_LA121190-0080,input.INQ402,0
306_LA122090-0112,input.iss97vs,0
326_FT943-1363,input.Cor6A3cll,0
323_CR93H-12874,input.mds603,0
341_FBIS3-23200,input.CLREL,0
332_FT934-2618,input.DCU97snt,0
339_LA072990-0149,input.csiro97a2,0
315_LA022890-0151,input.iss97vs,0
324_FBIS3-11961,input.gerua2,0
348_FBIS3-37947,input.gmu97ma1,0
350_FT924-12703,input.ibmg97a,0
311_FT923-2715,input.iss97man,0
301_FT944-10635,input.csiro97a1,0
344_LA100389-0030,input.iss97man,0
336_FBIS3-41518,input.anu6alo1,1
319_FR940617-0-00136,input.anu6min1,0
350_FT943-5187,input.LNmShort,0
317_FT933-4502,input.Brkly23,0
330_LA091590-0044,input.att97as,0
321_LA100890-0010,input.glair61,0
348_FT942-14648,input.fsclt6t,0
337_CR93H-735,input.DCU97snt,0
346_CR93E-5518,input.aiatB1,1
320_FT943-9230,input.city6al,0
348_LA121489-0152,input.harris1,0
323_LA121689-0033,input.DCU97lt,0
345_LA030390-0096,input.Mercure2,0
345_FBIS4-29,input.pirc7Aa,0
306_FBIS3-271,input.Cor6A1cls,0
350_FBIS4-47430,input.Mercure3,0
319_FT941-15562,input.gerua3,0
345_LA021190-0193,input.aiatB1,0
319_FT944-3574,input.fsclt6,0
348_CR93H-9564,input.ispa2,0
332_FT934-17257,input.Cor6A2qtcs,0
321_LA041089-0010,input.nsasg2,0
308_CR93E-8034,input.gmu97au1,0
