question,worker,answer
24,5,0
25,2,1
26,2,0
27,3,1
20,1,0
21,1,0
22,2,1
23,1,1
28,4,0
29,1,1
0,2,1
4,1,1
8,3,1
59,5,1
58,3,1
55,1,0
54,5,1
57,4,0
56,1,1
51,4,1
50,4,0
53,4,0
52,4,0
88,4,0
89,5,0
82,5,1
83,2,1
80,1,0
81,2,0
86,1,0
87,1,0
84,3,1
85,2,1
3,2,0
7,1,1
39,5,1
38,1,1
33,2,0
32,5,1
31,3,1
30,5,1
37,2,1
36,3,0
35,1,1
34,3,0
60,2,0
61,5,0
62,2,0
63,5,1
64,2,0
65,2,1
66,4,1
67,3,1
68,2,1
69,2,0
2,3,1
6,5,1
99,1,0
98,5,0
91,5,0
90,1,1
93,1,1
92,2,1
95,1,0
94,1,0
97,1,0
96,1,0
11,4,1
10,5,1
13,5,0
12,3,0
15,3,1
14,2,0
17,5,1
16,4,1
19,3,1
18,3,0
48,3,0
49,5,1
46,2,1
47,1,0
44,4,1
45,2,1
42,3,1
43,3,0
40,3,0
41,3,1
1,5,0
5,5,1
9,2,1
77,5,1
76,2,1
75,4,1
74,1,0
73,1,1
72,5,1
71,1,0
70,1,1
79,1,1
78,1,0
