question,worker,answer
24,4,1
24,1,0
24,2,0
25,3,0
25,1,0
25,5,0
26,4,1
26,5,0
26,1,0
27,1,0
27,5,0
27,4,1
20,2,1
20,3,1
20,1,1
21,5,1
21,3,1
21,2,1
22,1,1
22,4,0
22,3,1
23,2,1
23,3,0
23,1,1
28,3,1
28,1,1
28,5,1
29,5,0
29,1,0
29,3,1
0,1,1
0,4,0
0,2,1
4,2,0
4,5,0
4,1,0
8,3,0
8,4,1
8,1,0
59,2,0
59,4,1
59,5,0
58,2,1
58,5,1
58,1,1
55,1,1
55,5,1
55,4,0
54,2,1
54,3,1
54,5,1
57,3,0
57,5,1
57,4,0
56,5,0
56,2,0
56,4,0
51,2,0
51,3,0
51,5,0
50,3,1
50,2,1
50,1,0
53,4,1
53,1,0
53,3,0
52,2,0
52,4,1
52,3,0
88,3,1
88,1,1
88,4,0
89,1,0
89,3,0
89,4,1
82,4,0
82,3,1
82,1,1
83,2,1
83,1,0
83,3,1
80,2,0
80,4,0
80,1,0
81,4,0
81,1,1
81,3,0
86,3,1
86,5,1
86,4,0
87,2,1
87,5,1
87,1,1
84,1,0
84,3,1
84,2,0
85,2,0
85,4,1
85,5,0
3,4,0
3,3,0
3,2,0
7,3,0
7,2,0
7,4,1
39,5,1
39,2,1
39,1,0
38,3,1
38,2,1
38,5,1
33,5,0
33,3,0
33,2,0
32,2,1
32,3,1
32,4,0
31,4,1
31,2,1
31,5,1
30,5,1
30,1,1
30,3,0
37,5,0
37,4,1
37,2,0
36,1,1
36,3,1
36,2,1
35,3,1
35,1,1
35,4,0
34,1,0
34,4,1
34,5,0
60,4,0
60,3,1
60,2,1
61,1,0
61,4,0
61,3,0
62,1,0
62,4,1
62,3,0
63,3,1
63,1,1
63,2,1
64,4,0
64,5,1
64,2,1
65,5,1
65,2,1
65,3,1
66,3,0
66,1,0
66,5,0
67,5,1
67,2,0
67,3,1
68,1,0
68,3,1
68,2,0
69,4,1
69,2,1
69,1,0
2,1,1
2,2,1
2,4,1
6,2,0
6,4,1
6,3,0
99,1,1
99,5,1
99,3,1
98,2,1
98,5,1
98,4,1
91,1,1
91,4,0
91,3,0
90,5,1
90,1,1
90,4,1
93,5,1
93,2,1
93,4,0
92,1,0
92,5,1
92,4,1
95,2,0
95,1,0
95,5,0
94,3,0
94,4,1
94,2,0
97,2,1
97,3,1
97,1,1
96,5,0
96,4,1
96,3,0
11,4,1
11,5,1
11,2,1
10,4,1
10,1,0
10,5,0
13,2,1
13,5,1
13,1,1
12,5,1
12,4,0
12,1,1
15,4,1
15,1,0
15,5,0
14,5,0
14,2,0
14,4,1
17,1,0
17,5,0
17,4,0
16,5,0
16,3,0
16,2,0
19,5,0
19,2,0
19,4,1
18,5,1
18,2,1
18,4,0
48,2,0
48,4,1
48,1,0
49,3,1
49,1,0
49,4,0
46,4,0
46,3,1
46,1,1
47,2,1
47,4,0
47,5,1
44,5,1
44,4,0
44,2,1
45,3,1
45,4,0
45,5,0
42,3,0
42,2,0
42,4,1
43,3,0
43,5,0
43,4,1
40,1,1
40,4,0
40,2,1
41,5,1
41,2,1
41,4,0
1,1,1
1,2,1
1,3,1
5,4,1
5,2,0
5,5,0
9,5,0
9,3,0
9,1,0
77,3,0
77,2,0
77,5,0
76,4,0
76,5,0
76,3,1
75,5,0
75,4,1
75,3,0
74,5,0
74,3,0
74,4,1
73,2,1
73,1,0
73,3,0
72,5,0
72,4,1
72,3,0
71,3,1
71,2,1
71,1,1
70,5,1
70,2,1
70,1,1
79,2,0
79,5,0
79,1,0
78,1,0
78,3,0
78,2,0
