worker,question,answer,truth
3,23,1,1
3,10,1,1
3,39,0,0
3,15,0,0
3,6,1,1
3,40,1,0
3,91,0,0
3,80,0,0
3,76,0,0
3,22,0,1
3,53,1,1
3,27,1,1
3,17,0,1
3,10,1,1
3,21,1,0
3,92,0,0
3,82,0,1
3,80,0,0
3,80,0,0
3,19,0,0
2,30,0,1
2,62,1,1
2,73,1,1
2,85,1,1
2,88,1,1
2,8,0,0
2,60,0,0
2,67,0,0
2,50,0,1
2,17,1,1
2,47,0,0
2,8,0,0
2,93,0,1
2,86,1,1
2,54,1,0
2,30,0,1
2,90,1,1
2,57,1,1
2,88,1,1
2,84,0,1
4,50,0,1
4,41,1,1
4,59,1,0
4,43,0,1
4,16,0,0
4,30,1,1
4,81,0,0
4,4,0,0
4,4,0,0
4,62,1,1
4,28,1,1
4,53,1,1
4,47,1,0
4,34,0,0
4,99,0,0
4,19,0,0
4,41,1,1
4,20,1,1
4,63,0,0
4,27,1,1
